CognitiveBiasCategory,categoryID:ID,CognitiveBiasType,typeID:ID,CognitiveBias,cognitivebiasID:ID
"Belief, decision-making and behavioral",belief,Anchoring Bias,anchoringbias,Anchoring or focalism,anchoringorfocalism
"Belief, decision-making and behavioral",belief,Anchoring Bias,anchoringbias,Belief Revision,beliefrevision
"Belief, decision-making and behavioral",belief,Anchoring Bias,anchoringbias,Common source bias,commonsourcebias
"Belief, decision-making and behavioral",belief,Anchoring Bias,anchoringbias,Conservatism bias,conservatismbias
"Belief, decision-making and behavioral",belief,Anchoring Bias,anchoringbias,Functional fixedness,functionalfixedness
"Belief, decision-making and behavioral",belief,Anchoring Bias,anchoringbias,Law of the instrument,lawoftheinstrument
"Belief, decision-making and behavioral",belief,Apophenia,apophenia,Clustering illusion,clusteringillusion
"Belief, decision-making and behavioral",belief,Apophenia,apophenia,Illusory correlation,illusorycorrelation
"Belief, decision-making and behavioral",belief,Apophenia,apophenia,Pareidolia,pareidolia
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Anthropocentric thinking,anthropocentricthinking
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Anthropomorphism,anthropomorphism
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Attentional bias,attentionalbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Attribute substitution,attributesubstitution
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Availability heuristic,availabilityheuristic
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Baader–Meinhof phenomenon,baadermeinhofphenomenon
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Diffusion of Responsibility,diffusionofresponsibility
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Dunning-Kruger Effect,dunningkrugereffect
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Empathy gap,empathygap
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,End-of-history illusion,endofhistoryillusion
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Endowment effect,endowmenteffect
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Errors of Omission vs. Commission Bias,errorsofomissionvscommissionbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Form function attribution bias,formfunctionattributionbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Frequency illusion,frequencyillusion
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Gettier Problems,gettierproblems
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Hard–easy effect,hard–easyeffect
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Hindsight bias,hindsightbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Impact bias,impactbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Implicit association,implicitassociation
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Imposter Syndrome,impostersyndrome
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Information bias,informationbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Interoceptive bias,interoceptivebias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Money illusion,moneyillusion
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Moral credential effect,moralcredentialeffect
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Non-adaptive choice switching,nonadaptivechoiceswitching
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Omission bias,omissionbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Optimism bias,optimismbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Ostrich effect,ostricheffect
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Outcome bias,outcomebias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Parkinson's law of triviality,#N/A
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,personification,personification
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Pessimism bias,pessimismbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Planck’s Principle,planck’sprinciple
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Plant blindness,plantblindness
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Pluralistic Ignorance,pluralisticignorance
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Probability matching,probabilitymatching
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Pro-innovation bias,proinnovationbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Recency illusion,recencyillusion
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Salience bias,saliencebias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Selection bias,selectionbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Status Quo Bias,statusquobias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Surrogation,surrogation
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Survivorship bias,survivorshipbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Systematic bias,systematicbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Unconscious bias,unconsciousbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Unit bias,unitbias
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Well travelled road effect,welltravelledroadeffect
"Belief, decision-making and behavioral",belief,Attribution Bias,attributionbias,Women are wonderful effect,womenarewonderfuleffect
"Belief, decision-making and behavioral",belief,Cognitive Dissonance,cognitivedissonance,Normalcy bias,normalcybias
"Belief, decision-making and behavioral",belief,Confirmation Bias,confirmationbias,Backfire effect,backfireeffect
"Belief, decision-making and behavioral",belief,Confirmation Bias,confirmationbias,Confirmation bias,confirmationbias
"Belief, decision-making and behavioral",belief,Confirmation Bias,confirmationbias,Congruence bias,congruencebias
"Belief, decision-making and behavioral",belief,Confirmation Bias,confirmationbias,Continued influence effect,continuedinfluenceeffect
"Belief, decision-making and behavioral",belief,Confirmation Bias,confirmationbias,expectation bias,expectationbias
"Belief, decision-making and behavioral",belief,Confirmation Bias,confirmationbias,Experimenter's,experimenters
"Belief, decision-making and behavioral",belief,Confirmation Bias,confirmationbias,Observer-expectancy effect,observerexpectancyeffect
"Belief, decision-making and behavioral",belief,Confirmation Bias,confirmationbias,Selective perception,selectiveperception
"Belief, decision-making and behavioral",belief,Confirmation Bias,confirmationbias,Semmelweis reflex,semmelweisreflex
"Belief, decision-making and behavioral",belief,Effort Justification,effortjustification,IKEA effect,ikeaeffect
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Additive bias,additivebias
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Barnum effect,barnumeffect
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Curse of knowledge,curseofknowledge
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Exaggerated expectation,exaggeratedexpectation
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Forer effect,forereffect
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Illusion of control,illusionofcontrol
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Illusion of validity,illusionofvalidity
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Overconfidence effect,overconfidenceeffect
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Planning fallacy,planningfallacy
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Prevention bias,preventionbias
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Proportionality bias,proportionalitybias
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Restraint bias,restraintbias
"Belief, decision-making and behavioral",belief,Egocentric Bias,egocentricbias,Risk compensation / Peltzman effect,#N/A
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Base rate fallacy,baseratefallacy
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Base rate neglect,baserateneglect
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Compassion fade,compassionfade
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Conjunction fallacy,conjunctionfallacy
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Duration neglect,durationneglect
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Hyperbolic discounting,hyperbolicdiscounting
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Insensitivity to sample size,insensitivitytosamplesize
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Less-is-better effect,lessisbettereffect
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Neglect of probability,neglectofprobability
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Present bias,presentbias
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Projection bias,projectionbias
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,scope insensitivity,scopeinsensitivity
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Scope neglect,scopeneglect
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Weber–Fechner law,weber–fechnerlaw
"Belief, decision-making and behavioral",belief,Extension Neglect,extensionneglect,Zero-risk bias,zeroriskbias
"Belief, decision-making and behavioral",belief,False Priors,falsepriors,Agent detection,agentdetection
"Belief, decision-making and behavioral",belief,False Priors,falsepriors,Automation bias,automationbias
"Belief, decision-making and behavioral",belief,False Priors,falsepriors,Gender bias,genderbias
"Belief, decision-making and behavioral",belief,False Priors,falsepriors,Stereotyping,stereotyping
"Belief, decision-making and behavioral",belief,Familiarity Principle,familiarityprinciple,Mere exposure effect,mereexposureeffect
"Belief, decision-making and behavioral",belief,Framing Effect,framingeffect,Contrast effect,contrasteffect
"Belief, decision-making and behavioral",belief,Framing Effect,framingeffect,Decoy effect,decoyeffect
"Belief, decision-making and behavioral",belief,Framing Effect,framingeffect,Default effect,defaulteffect
"Belief, decision-making and behavioral",belief,Framing Effect,framingeffect,Denomination effect,denominationeffect
"Belief, decision-making and behavioral",belief,Framing Effect,framingeffect,Distinction bias,distinctionbias
"Belief, decision-making and behavioral",belief,Framing Effect,framingeffect,Framing effect,framingeffect
"Belief, decision-making and behavioral",belief,Logical Fallacy,logicalfallacy,Berkson's paradox,#N/A
"Belief, decision-making and behavioral",belief,Logical Fallacy,logicalfallacy,Declinism,declinism
"Belief, decision-making and behavioral",belief,Logical Fallacy,logicalfallacy,Escalation of commitment,escalationofcommitment
"Belief, decision-making and behavioral",belief,Logical Fallacy,logicalfallacy,Gambler's fallacy,#N/A
"Belief, decision-making and behavioral",belief,Logical Fallacy,logicalfallacy,Hot-hand fallacy,hothandfallacy
"Belief, decision-making and behavioral",belief,Logical Fallacy,logicalfallacy,Illicit transference,illicittransference
"Belief, decision-making and behavioral",belief,Logical Fallacy,logicalfallacy,Irrational escalation,irrationalescalation
"Belief, decision-making and behavioral",belief,Logical Fallacy,logicalfallacy,Plan continuation bias,plancontinuationbias
"Belief, decision-making and behavioral",belief,Logical Fallacy,logicalfallacy,Subadditivity effect,subadditivityeffect
"Belief, decision-making and behavioral",belief,Logical Fallacy,logicalfallacy,Time-saving bias,timesavingbias
"Belief, decision-making and behavioral",belief,Logical Fallacy,logicalfallacy,Zero-sum bias,zerosumbias
"Belief, decision-making and behavioral",belief,Prospect Theory,prospecttheory,Ambiguity effect,ambiguityeffect
"Belief, decision-making and behavioral",belief,Prospect Theory,prospecttheory,Disposition effect,dispositioneffect
"Belief, decision-making and behavioral",belief,Prospect Theory,prospecttheory,Dread aversion,dreadaversion
"Belief, decision-making and behavioral",belief,Prospect Theory,prospecttheory,Endowment Effect,endowmenteffect
"Belief, decision-making and behavioral",belief,Prospect Theory,prospecttheory,Loss aversion,lossaversion
"Belief, decision-making and behavioral",belief,Prospect Theory,prospecttheory,Pseudocertainty effect,pseudocertaintyeffect
"Belief, decision-making and behavioral",belief,Prospect Theory,prospecttheory,Status Quo Bias,statusquobias
"Belief, decision-making and behavioral",belief,Prospect Theory,prospecttheory,System justification,systemjustification
"Belief, decision-making and behavioral",belief,Truthiness,truthiness,Belief bias,beliefbias
"Belief, decision-making and behavioral",belief,Truthiness,truthiness,Illusory truth effect,illusorytrutheffect
"Belief, decision-making and behavioral",belief,Truthiness,truthiness,Rhyme as reason effect,rhymeasreasoneffect
"Belief, decision-making and behavioral",belief,Truthiness,truthiness,Subjective validation,subjectivevalidation
Memory,memory,Attribution Bias,attributionbias,Conservatism or Regressive bias,conservatismorregressivebias
Memory,memory,Attribution Bias,attributionbias,Cryptomnesia,cryptomnesia
Memory,memory,Attribution Bias,attributionbias,Egocentric bias,egocentricbias
Memory,memory,Attribution Bias,attributionbias,Fading affect bias,fadingaffectbias
Memory,memory,Attribution Bias,attributionbias,False memory,falsememory
Memory,memory,Attribution Bias,attributionbias,Generation effect (Self-generation effect),#N/A
Memory,memory,Attribution Bias,attributionbias,Google effect,googleeffect
Memory,memory,Attribution Bias,attributionbias,Humor effect,humoreffect
Memory,memory,Attribution Bias,attributionbias,Leveling and sharpening,levelingandsharpening
Memory,memory,Attribution Bias,attributionbias,Levels-of-processing effect,levelsofprocessingeffect
Memory,memory,Attribution Bias,attributionbias,List-length effect,listlengtheffect
Memory,memory,Attribution Bias,attributionbias,Misinformation effect,misinformationeffect
Memory,memory,Attribution Bias,attributionbias,Modality effect,modalityeffect
Memory,memory,Attribution Bias,attributionbias,Negativity bias or Negativity effect,negativitybiasornegativityeffect
Memory,memory,Attribution Bias,attributionbias,Next-in-line effect,nextinlineeffect
Memory,memory,Attribution Bias,attributionbias,Part-list cueing effect,partlistcueingeffect
Memory,memory,Attribution Bias,attributionbias,Picture superiority effect,picturesuperiorityeffect
Memory,memory,Attribution Bias,attributionbias,Positivity effect (Socioemotional selectivity theory),#N/A
Memory,memory,Attribution Bias,attributionbias,Processing difficulty effect,processingdifficultyeffect
Memory,memory,Attribution Bias,attributionbias,Self-relevance effect,selfrelevanceeffect
Memory,memory,Attribution Bias,attributionbias,Serial position effect,serialpositioneffect
Memory,memory,Attribution Bias,attributionbias,Source confusion,sourceconfusion
Memory,memory,Attribution Bias,attributionbias,Spacing effect,spacingeffect
Memory,memory,Attribution Bias,attributionbias,Spotlight effect,spotlighteffect
Memory,memory,Attribution Bias,attributionbias,Stereotypical bias,stereotypicalbias
Memory,memory,Attribution Bias,attributionbias,Suffix effect,suffixeffect
Memory,memory,Attribution Bias,attributionbias,Suggestibility,suggestibility
Memory,memory,Attribution Bias,attributionbias,Telescoping effect,telescopingeffect
Memory,memory,Attribution Bias,attributionbias,Tip of the tongue phenomenon,tipofthetonguephenomenon
Memory,memory,Attribution Bias,attributionbias,Travis Syndrome,travissyndrome
Memory,memory,Attribution Bias,attributionbias,Verbatim effect,verbatimeffect
Memory,memory,Attribution Bias,attributionbias,von Restorff effect,vonrestorffeffect
Memory,memory,Egocentric Bias,egocentricbias,Bizarreness effect,bizarrenesseffect
Memory,memory,Egocentric Bias,egocentricbias,Choice-supportive bias,choicesupportivebias
Memory,memory,Egocentric Bias,egocentricbias,Context effect,contexteffect
Memory,memory,Egocentric Bias,egocentricbias,Cross-race effect,crossraceeffect
Memory,memory,Egocentric Bias,egocentricbias,Lag effect,lageffect
Memory,memory,Egocentric Bias,egocentricbias,Mood-congruent memory bias,moodcongruentmemorybias
Memory,memory,Egocentric Bias,egocentricbias,Peak–end rule,peak–endrule
Memory,memory,Egocentric Bias,egocentricbias,Reminiscence bump,reminiscencebump
Memory,memory,Egocentric Bias,egocentricbias,Tachypsychia,tachypsychia
Memory,memory,Egocentric Bias,egocentricbias,Testing effect,testingeffect
Memory,memory,Egocentric Bias,egocentricbias,Zeigarnik effect,zeigarnikeffect
Memory,memory,Logical Fallacy,logicalfallacy,Consistency bias,consistencybias
Social,social,Association Fallacy,associationfallacy,Authority bias,authoritybias
Social,social,Association Fallacy,associationfallacy,Cheerleader effect,cheerleadereffect
Social,social,Association Fallacy,associationfallacy,Halo effect,haloeffect
Social,social,Attribution Bias,attributionbias,Actor-observer bias,actorobserverbias
Social,social,Attribution Bias,attributionbias,Extrinsic incentives bias,extrinsicincentivesbias
Social,social,Attribution Bias,attributionbias,Fundamental attribution error,fundamentalattributionerror
Social,social,Attribution Bias,attributionbias,Group attribution error,groupattributionerror
Social,social,Attribution Bias,attributionbias,Hostile attribution bias,hostileattributionbias
Social,social,Attribution Bias,attributionbias,Intentionality bias,intentionalitybias
Social,social,Attribution Bias,attributionbias,Just-world hypothesis,justworldhypothesis
Social,social,Attribution Bias,attributionbias,Moral luck,moralluck
Social,social,Attribution Bias,attributionbias,Puritanical bias,puritanicalbias
Social,social,Attribution Bias,attributionbias,Pygmalion effect,pygmalioneffect
Social,social,Attribution Bias,attributionbias,Reactive devaluation,reactivedevaluation
Social,social,Attribution Bias,attributionbias,Self-serving bias,selfservingbias
Social,social,Attribution Bias,attributionbias,Shared information bias,sharedinformationbias
Social,social,Attribution Bias,attributionbias,Ultimate attribution error,ultimateattributionerror
Social,social,Cognitive Dissonance,cognitivedissonance,Ben Franklin effect,benfranklineffect
Social,social,Conformity Bias,conformitybias,Availability cascade,availabilitycascade
Social,social,Conformity Bias,conformitybias,Bandwagon effect,bandwagoneffect
Social,social,Conformity Bias,conformitybias,Courtesy bias,courtesybias
Social,social,Conformity Bias,conformitybias,Groupthink,groupthink
Social,social,Conformity Bias,conformitybias,Social desirability bias,socialdesirabilitybias
Social,social,Egocentric Bias,egocentricbias,Bias blind spot,biasblindspot
Social,social,Egocentric Bias,egocentricbias,Defensive attribution hypothesis,defensiveattributionhypothesis
Social,social,Egocentric Bias,egocentricbias,Egocentric bias,egocentricbias
Social,social,Egocentric Bias,egocentricbias,False consensus effect,falseconsensuseffect
Social,social,Egocentric Bias,egocentricbias,False uniqueness bias,falseuniquenessbias
Social,social,Egocentric Bias,egocentricbias,Illusion of asymmetric insight,illusionofasymmetricinsight
Social,social,Egocentric Bias,egocentricbias,Illusion of transparency,illusionoftransparency
Social,social,Egocentric Bias,egocentricbias,Illusory superiority,illusorysuperiority
Social,social,Egocentric Bias,egocentricbias,Naïve cynicism,naïvecynicism
Social,social,Egocentric Bias,egocentricbias,Naïve realism,naïverealism
Social,social,Egocentric Bias,egocentricbias,Third-person effect,thirdpersoneffect
Social,social,Egocentric Bias,egocentricbias,Trait ascription bias,traitascriptionbias
Social,social,Egocentric Bias,egocentricbias,Worse-than-average effect,worsethanaverageeffect
Social,social,Extension Neglect,extensionneglect,Social comparison bias,socialcomparisonbias
Social,social,False Priors,falsepriors,Sexual overperception bias  or  Sexual underperception bias,sexualoverperceptionbiasorsexualunderperceptionbias
Social,social,Ingroup Bias,ingroupbias,Ingroup bias,ingroupbias
Social,social,Ingroup Bias,ingroupbias,Not invented here,notinventedhere
Social,social,Ingroup Bias,ingroupbias,Outgroup homogeneity bias,outgrouphomogeneitybias
Social,social,Prospect Theory,prospecttheory,Reactance,reactance
